Endpoint,Descriptor Set,N_features,R2_train,R2_test,RMSE_test,MAE_test
LogS,Morgan,2048,0.8298,0.6806,1.3103,0.9297
LogS,RDKit-2D,217,0.959,0.828,0.9616,0.6061
LogS,Mordred,1613,0.9744,0.8376,0.9342,0.5929
LogS,Morgan+RDKit,2265,0.947,0.8278,0.9621,0.6107
LogS,Morgan+Mordred,3661,0.9657,0.8373,0.9351,0.5968
LogS,RDKit+Mordred,1830,0.9748,0.8384,0.9318,0.5887
LogS,All (M+R+Mo),3878,0.9668,0.8401,0.9269,0.5898
LogP,Morgan,2048,0.9088,0.8171,0.8053,0.5635
LogP,RDKit-2D,217,0.9844,0.9414,0.4558,0.3105
LogP,Mordred,1613,0.9916,0.9451,0.4411,0.3047
LogP,Morgan+RDKit,2265,0.979,0.9423,0.4525,0.3119
LogP,Morgan+Mordred,3661,0.9868,0.9441,0.4452,0.3063
LogP,RDKit+Mordred,1830,0.9916,0.9449,0.4419,0.3001
LogP,All (M+R+Mo),3878,0.9871,0.9438,0.4466,0.3037
LogD,Morgan,2048,0.8791,0.603,0.6441,0.4864
LogD,RDKit-2D,217,0.9892,0.7159,0.5449,0.395
LogD,Mordred,1613,0.9964,0.7443,0.5169,0.3896
LogD,Morgan+RDKit,2265,0.9761,0.732,0.5291,0.3861
LogD,Morgan+Mordred,3661,0.9946,0.7523,0.5088,0.379
LogD,RDKit+Mordred,1830,0.9964,0.7292,0.532,0.3963
LogD,All (M+R+Mo),3878,0.9951,0.7425,0.5187,0.384
LogPapp,Morgan,2048,0.9387,0.7179,0.4003,0.2994
LogPapp,RDKit-2D,217,0.9876,0.73,0.3917,0.2941
LogPapp,Mordred,1613,0.9906,0.7146,0.4026,0.305
LogPapp,Morgan+RDKit,2265,0.9828,0.7436,0.3817,0.2894
LogPapp,Morgan+Mordred,3661,0.992,0.7257,0.3948,0.2969
LogPapp,RDKit+Mordred,1830,0.9909,0.7155,0.402,0.2999
LogPapp,All (M+R+Mo),3878,0.9915,0.718,0.4003,0.3006
