Endpoint,Nominal (%),Empirical (%),Δ (pp),Mean Width
LogS,70.0,70.8,0.8,1.341
LogS,75.0,75.8,0.8,1.552
LogS,80.0,80.5,0.5,1.832
LogS,85.0,86.5,1.5,2.234
LogS,90.0,90.5,0.5,2.746
LogS,95.0,95.8,0.8,3.822
LogP,70.0,72.7,2.7,0.689
LogP,75.0,78.0,3.0,0.803
LogP,80.0,82.7,2.7,0.946
LogP,85.0,87.3,2.3,1.09
LogP,90.0,92.1,2.1,1.313
LogP,95.0,96.3,1.3,1.671
LogD,70.0,65.2,-4.8,0.803
LogD,75.0,71.9,-3.1,0.933
LogD,80.0,77.9,-2.1,1.055
LogD,85.0,84.3,-0.7,1.258
LogD,90.0,89.3,-0.7,1.492
LogD,95.0,93.6,-1.4,1.829
LogPapp,70.0,69.6,-0.4,0.841
LogPapp,75.0,75.8,0.8,0.972
LogPapp,80.0,82.0,2.0,1.125
LogPapp,85.0,85.7,0.7,1.276
LogPapp,90.0,89.9,-0.1,1.515
LogPapp,95.0,96.2,1.2,2.123
