Model,R2_train,R2_test,RMSE_test,MAE_test,Endpoint
LightGBM,0.9377,0.8338,0.945,0.6132,LogS
XGBoost,0.9101,0.8224,0.977,0.644,LogS
CatBoost,0.9593,0.8358,0.9395,0.5947,LogS
RandomForest,0.962,0.8036,1.0275,0.6863,LogS
LightGBM,0.9816,0.9487,0.4265,0.3002,LogP
XGBoost,0.9944,0.9483,0.4284,0.2851,LogP
CatBoost,0.9827,0.9515,0.4149,0.2916,LogP
RandomForest,0.9785,0.9023,0.5886,0.4267,LogP
LightGBM,0.9946,0.7453,0.5159,0.3812,LogD
XGBoost,0.9939,0.7566,0.5043,0.3828,LogD
CatBoost,0.9958,0.7517,0.5093,0.3808,LogD
RandomForest,0.9224,0.5586,0.6792,0.527,LogD
LightGBM,0.899,0.5698,0.4794,0.3591,LogPapp
XGBoost,0.9168,0.5697,0.4794,0.3537,LogPapp
CatBoost,0.8938,0.5565,0.4867,0.3618,LogPapp
RandomForest,0.9062,0.4751,0.5295,0.4019,LogPapp
